timestamp,value
6967232,-73
6968344,2
6969272,68
6970292,166
6971404,203
6972504,231
6973608,231
6974712,222
6975816,177
6976924,97
6977944,26
6978964,-35
6980068,-136
6981256,-189
6982448,-228
6983636,-232
6984828,-210
6986016,-161
6987208,-70
6988312,1
6989248,64
6990268,161
6991372,194
6992476,227
6993584,232
6994688,219
6995792,175
6996896,95
6997916,25
6998936,-38
7000044,-134
7001232,-191
7002424,-230
7003612,-238
7004804,-220
7005992,-168
7007184,-76
7008288,-2
7009308,69
7010328,166
7011432,201
7012536,229
7013644,230
7014748,214
7015852,171
7016956,91
7017976,22
7018996,-42
7020104,-145
7021292,-193
7022484,-232
7023672,-233
7024864,-215
7026052,-169
7027244,-74
7028348,2
7029284,67
7030304,165
7031408,200
7032512,232
7033616,234
7034724,217
7035828,173
7036940,92
7037960,23
7038972,-40
7040076,-137
7041268,-190
7042456,-225
7043648,-230
7044836,-207
7046028,-159
7047216,-71
7048324,-1
7049344,72
7050364,168
7051468,201
7052572,227
7053676,229
7054784,212
7055888,168
7056992,87
7058012,17
7059032,-48
7060136,-150
7061328,-196
7062516,-230
7063708,-231
7064896,-218
7066088,-162
7067276,-67
7068384,4
7069316,73
7070336,167
7071444,199
7072548,229
7073652,232
7074756,220
7075864,172
7076968,89
7077988,20
7079008,-44
7080112,-144
7081304,-191
7082492,-226
7083684,-225
7084872,-208
7086064,-155
7087252,-67
7088356,7
7089292,69
7090312,168
7091416,201
7092524,231
7093628,231
7094732,219
7095836,174
7096944,92
7097964,23
7098984,-42
7100088,-141
7101276,-190
7102472,-229
7103656,-240
7104848,-216
7106036,-159
7107228,-67
7108332,4
7109268,67
7110288,165
7111392,198
7112496,230
7113604,234
7114708,218
7115812,171
7116916,90
7117936,22
7118956,-41
7120064,-144
7121252,-197
7122444,-232
7123632,-236
7124824,-218
7126012,-166
7127204,-72
7128308,1
7129244,66
7130264,164
7131368,196
7132472,228
7133576,230
7134684,218
7135788,171
7136892,90
7137912,22
7138932,-39
7140036,-136
7141228,-193
7142424,-230
7143608,-232
7144796,-212
7145988,-161
7147176,-71
7148284,0
7149216,65
7150236,162
7151344,195
7152448,227
7153552,232
7154656,211
7155764,174
7156868,92
7157888,25
7158908,-36
7160012,-134
7161204,-188
7162392,-226
7163584,-231
7164772,-213
7165968,-163
7167152,-74
7168256,-2
7169276,70
7170296,163
7171404,195
7172508,226
7173612,229
7174716,211
7175824,167
7176928,89
7177948,21
